"record_id","RSN","component","split","target_IM_g","native_IM_g","scale_factor","max_IDR","max_PFA_g","RD","collapse","convergence"
"GM024","953","MUL279","train","1.0994225630211358","1.0994225630211358","1.0","0.0218691445122288","0.7587876317961161","0.0053169466257399","False","True"
"GM025","960","LOS000","test","0.4336034533616525","0.4336034533616525","1.0","0.0157561352745934","0.8003351708458549","0.0034163551260922","False","True"
"GM026","960","LOS270","test","0.7858009203741332","0.7858009203741332","1.0","0.0188387799568121","0.8069977738519909","0.0011290594033861","False","True"
"GM027","1111","NIS000","test","0.3546814940353707","0.3546814940353707","1.0","0.0128592073863299","0.7760430668198662","0.0006297950253967","False","True"
"GM028","1111","NIS090","test","0.37610212824093","0.37610212824093","1.0","0.0124487060641383","0.6120081023704161","0.0010648836743836","False","True"
"GM029","1116","SHI000","train","0.333968516931712","0.333968516931712","1.0","0.0111209205273008","0.5767113360934227","0.0002185961775717","False","True"
"GM030","1116","SHI090","train","0.264552650629232","0.264552650629232","1.0","0.0081936543925907","0.4132832077618773","0.0002165234652153","False","True"
"GM031","1148","ARC000","train","0.1454227921899315","0.1454227921899315","1.0","0.0050387899730235","0.3564294664662408","0.0003525873190755","False","True"
"GM032","1148","ARC090","train","0.1296310999204284","0.1296310999204284","1.0","0.0041583065123118","0.2223124798217122","0.0001411931472849","False","True"
"GM033","1158","DZC180","test","0.4959342454317579","0.4959342454317579","1.0","0.0175561258979006","0.794603919050629","0.0031236546770165","False","True"
"GM034","1158","DZC270","test","0.8149324834010588","0.8149324834010588","1.0","0.0168864518180989","0.756670765508386","0.0039853730844121","False","True"
"GM035","1244","CHY101-E","train","0.5496599586242269","0.5496599586242269","1.0","0.0168076563129319","0.7106234415217377","0.0024267569641836","False","True"
"GM036","1244","CHY101-N","train","1.2190574789974256","1.2190574789974256","1.0","0.0290643610228664","0.8909364312464013","0.0067578203068845","False","True"
"GM037","1485","TCU045-E","train","0.3626409576511137","0.3626409576511137","1.0","0.0127837959770347","0.6751708162870103","0.0004535772117094","False","True"
"GM038","1485","TCU045-N","train","0.5003103430329471","0.5003103430329471","1.0","0.0135536207198236","0.6666393279571616","0.0010692593168727","False","True"
"GM039","1602","BOL000","val","0.898169345667361","0.898169345667361","1.0","0.0196977227582156","1.1422542955747896","0.0030738312963496","False","True"
"GM040","1602","BOL090","val","1.3565372014308057","1.3565372014308057","1.0","0.0273711108251438","1.0501228674364531","0.0008296957260405","False","True"
"GM041","1633","ABBAR--L","train","0.4103835649199381","0.4103835649199381","1.0","0.0144974724794905","0.9648951688977234","0.0013382588016889","False","True"
"GM042","1633","ABBAR--T","train","0.6416929592377317","0.6416929592377317","1.0","0.0168130826772877","0.8797300518273862","0.0036354801557172","False","True"
"GM043","1787","HEC000","val","0.4043952705431982","0.4043952705431982","1.0","0.0114671672250291","0.5068393477062834","0.0001371237819728","False","True"
"GM044","1787","HEC090","val","0.4731157338923612","0.4731157338923612","1.0","0.0125051401580889","0.6694774802001988","0.001203680882321","False","True"
