"record_id","RSN","component","split","target_IM_g","native_IM_g","scale_factor","max_IDR","max_PFA_g","RD","collapse","convergence"
"GM001","68","PEL090","train","0.1","0.290240933769757","0.3445413391597211","0.0031914209697454","0.1600768928671362","0.0001775926781683","False","True"
"GM001","68","PEL090","train","0.1544452104946378","0.290240933769757","0.5321275965062755","0.0049289972422192","0.2472310864519822","0.0002742834044536","False","True"
"GM001","68","PEL090","train","0.23853323044733","0.290240933769757","0.8218455865241746","0.007612601668079","0.3818365435447767","0.0004236176507461","False","True"
"GM001","68","PEL090","train","0.3684031498640386","0.290240933769757","1.2693011460481531","0.0114240053573833","0.5360415358978078","0.0015714935720439","False","True"
"GM001","68","PEL090","train","0.5689810202763907","0.290240933769757","1.9603748268249208","0.0144524732849101","0.7392977698924199","0.0041480589285903","False","True"
"GM001","68","PEL090","train","0.8787639344404101","0.290240933769757","3.0277050277736426","0.0192539961216433","1.0343711666223494","0.0043025103952118","False","True"
"GM001","68","PEL090","train","1.3572088082974532","0.290240933769757","4.676145403301737","0.0244844457539971","1.4246180352446558","0.0049254399481573","False","True"
"GM001","68","PEL090","train","2.096144000826768","0.290240933769757","7.222082611164702","0.0321415631295775","2.0421519346338406","0.0011845626059465","False","True"
"GM001","68","PEL090","train","3.2373940143476263","0.290240933769757","11.154160690909965","0.0639952812527622","2.8084026102266075","0.0078773914010505","False","True"
"GM001","68","PEL090","train","5.0","0.290240933769757","17.227066957986054","0.1000593852520212","3.759692271948823","0.1000593852520212","True","True"
"GM002","68","PEL180","train","0.1","0.2042943267450067","0.4894898531608107","0.0037034071528393","0.197897746795751","0.0001792208139353","False","True"
"GM002","68","PEL180","train","0.1544452104946378","0.2042943267450067","0.7559936340641079","0.0057197350045467","0.3056435661478676","0.0002767979975113","False","True"
"GM002","68","PEL180","train","0.23853323044733","0.2042943267450067","1.167595959456374","0.0088338568849384","0.4720517553163627","0.0004275013758128","False","True"
"GM002","68","PEL180","train","0.3684031498640386","0.2042943267450067","1.803296037309284","0.0128981899765771","0.649060044087862","0.0003659715242161","False","True"
"GM002","68","PEL180","train","0.5689810202763907","0.2042943267450067","2.7851043606637877","0.0166356753372586","0.7672480189004139","0.0017930689573473","False","True"
"GM002","68","PEL180","train","0.8787639344404101","0.2042943267450067","4.301460292322526","0.0239053190049512","0.9173513641677484","0.0031517338337063","False","True"
"GM002","68","PEL180","train","1.3572088082974532","0.2042943267450067","6.643399402820791","0.0313105681405311","1.2924155239496098","0.0052395729388635","False","True"
"GM002","68","PEL180","train","2.096144000826768","0.2042943267450067","10.26041219168609","0.0425027225617157","1.7805639525603731","0.0072599072497648","False","True"
"GM002","68","PEL180","train","3.2373940143476263","0.2042943267450067","15.846715207067067","0.0566074068698887","2.565565325022074","0.0086898356276839","False","True"
"GM002","68","PEL180","train","5.0","0.2042943267450067","24.47449265804053","0.0731781707978197","3.663022620926096","0.0076970206869086","False","True"
"GM003","125","A-TMZ000","val","0.1","0.2861345384472494","0.3494859465154557","0.0036214225763397","0.2442884389262822","1.7513718993676875e-05","False","True"
